id,name,description,price,quantity,min_quantity,category,image
1,"סמארטפון iPhone 15","טלפון חכם מתקדם עם מצלמה 48MP",3599.99,22,5,אלקטרוניקה,"https://i0.wp.com/greenmobile.co.il/wp-content/uploads/2023/11/iphone_15_pro_natural_titanium_pdp_image_position-1__wwen.jpg?fit=1000%2C1000&ssl=1"
2,"סמארטפון Samsung Galaxy S24","טלפון אנדרואיד עם מסך 6.2 אינץ",3199.99,18,5,אלקטרוניקה,"https://www.ivory.co.il/files/catalog/org/1706102216C16Ip.webp"
3,"מחשב נייד Dell XPS 13","מחשב נייד 13 אינץ עם מעבד Intel i7",2999.99,14,3,אלקטרוניקה,"https://www.misradia.co.il/cdn/shop/files/original-38453.jpg?v=1700736461&width=700"
4,"מחשב נייד MacBook Air M2","מחשב נייד Apple עם שבב M2",5999.99,10,2,אלקטרוניקה,"https://goldtop.co.il/upload_files/220961.JPG"
5,"אוזניות אלחוטיות AirPods Pro","אוזניות עם ביטול רעש אקטיבי",999.99,50,10,אלקטרוניקה,"https://mikicom.co.il/Cat_499090_1807.webp"
6,"אוזניות Sony WH-1000XM5","אוזניות מקצועיות עם ביטול רעש",1299.99,29,8,אלקטרוניקה,"https://peimot.com/Cat_471170_23497.jpg"
7,"טלוויזיה Samsung 65" QLED","טלוויזיה 4K עם טכנולוגיית QLED",4999.99,12,3,אלקטרוניקה,"https://www.homecenter.co.il/cdn/shop/files/1722240960016-1.JPG?v=1722429487"
8,"טלוויזיה LG OLED 55"","טלוויזיה OLED עם איכות תמונה מעולה",5999.99,8,2,אלקטרוניקה,"https://static.wixstatic.com/media/4e1c6b_873c5380b26141948a18cc9988068860~mv2.gif"
9,"מטען אלחוטי","מטען אלחוטי מהיר 15W",149.99,39,10,אלקטרוניקה,"https://www.sollan.co.il/wp-content/uploads/2022/04/Baseus-PPLG-A01-5.jpg"
10,"כבל USB-C 2M","כבל טעינה ומידע באיכות גבוהה",39.99,102,20,אלקטרוניקה,"https://static.wixstatic.com/media/4e1c6b_1c097cc3cd304d89bb43e47ff08414f0~mv2.gif"
11,"מקלדת מכנית Razer","מקלדת גיימינג עם תאורה RGB",599.99,23,5,אלקטרוניקה,"https://www.storytech.co.il/wp-content/uploads/2024/09/80-8.png"
12,"עכבר גיימינג Logitech G502","עכבר עם חיישן מדויק ו-11 כפתורים",299.99,34,8,אלקטרוניקה,"https://www.storytech.co.il/wp-content/uploads/2024/09/1-31.webp"
13,"מסך מחשב 27" 4K","מסך IPS עם רזולוציה 4K",1599.99,17,4,אלקטרוניקה,"https://d2d22nphq0yz8t.cloudfront.net/6cbcadef-96e0-49e9-b3bd-9921afe362db/www.payngo.co.il/media/catalog/product/d/z/dz-01-27mr400-b.png/w_700,h_700,r_contain"
14,"מצלמה Canon EOS R5","מצלמה דיגיטלית מקצועית",12999.99,9,1,אלקטרוניקה,"https://gvanimstudiosh.com/Cat_497671_1219.webp"
15,"רמקול Bluetooth JBL","רמקול נייד עמיד במים",299.99,45,10,אלקטרוניקה,"https://www.misradia.co.il/cdn/shop/files/original-43703.jpg?v=1704269407&width=700"
